n_mfcc,model_name,accuracy,precision,recall,f1,roc_auc,train_time_sec,inference_time_ms,model_size_mb,best_params,cv_best_score,efficiency,size_efficiency,model_family
64,LightGBM,0.8617283950617284,0.8319327731092437,0.7333333333333333,0.7795275590551181,0.908395061728395,40.62958460021764,5.07009700872004,0.6718044281005859,"{'learning_rate': 0.1, 'min_child_samples': 20, 'n_estimators': 200, 'num_leaves': 31}",0.6980367008888404,0.019186205016350016,1.1603472172874487,Boosting
32,SVM (RBF),0.8197530864197531,0.6987179487179487,0.8074074074074075,0.7491408934707904,0.879698216735254,2.8446101997978985,18.136261012405157,0.22838973999023438,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.7151248939051489,0.2633544062274713,3.2800843567599216,SVM
8,SVM (RBF),0.8148148148148148,0.6923076923076923,0.8,0.7422680412371134,0.8731138545953361,2.021600699983537,14.946027025580406,0.06610298156738281,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.7035326180397633,0.3671682909858841,11.228794750895386,SVM
8,K-Nearest Neighbors,0.8246913580246914,0.75,0.7111111111111111,0.7300380228136882,0.8428257887517148,0.5539571000263095,27.55883498582989,0.18379497528076172,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.6920002556953261,1.3178578357803885,3.972002225285413,Distance-Based
32,K-Nearest Neighbors,0.8074074074074075,0.6887417218543046,0.7703703703703704,0.7272727272727273,0.8490672153635117,0.28227429976686835,3.0571200139820576,0.21075439453125,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.671649209302002,2.576466052372925,3.4507905664302703,Distance-Based
64,Logistic Regression,0.6839506172839506,0.5185185185185185,0.725925925925926,0.6049382716049383,0.7709739368998628,0.22388309985399246,0.2414829982444644,0.0011882781982421875,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.6040391898224541,2.7020153373975773,508.6600195808409,Linear Models
16,Logistic Regression,0.6839506172839506,0.5193370165745856,0.6962962962962963,0.5949367088607594,0.7426337448559671,0.15944079961627722,0.3079500189051032,0.0008087158203125,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}",0.58831010727391,3.731372264315706,734.7475422070311,Linear Models
32,Logistic Regression,0.6839506172839506,0.5195530726256983,0.6888888888888889,0.5923566878980892,0.7612345679012346,0.15329389972612262,0.28663900680840015,0.0009374618530273438,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.5874185634644822,3.8641643587385905,631.1995378258915,Linear Models
32,Ridge Classifier,0.6765432098765433,0.510989010989011,0.6888888888888889,0.5867507886435331,0.7598902606310013,0.13116199988871813,0.2348040323704481,0.0008249282836914062,"{'alpha': 1.0, 'solver': 'auto'}",0.5818710973530775,4.47344745958347,710.413725052625,Linear Models
64,Naive Bayes,0.6938271604938272,0.5364238410596026,0.6,0.5664335664335665,0.763593964334705,0.06700569996610284,0.8061710046604276,0.0025386810302734375,{'var_smoothing': 1e-09},0.5432556651008756,8.453387000406114,223.03334933859026,Probabilistic
32,Naive Bayes,0.6395061728395062,0.47058823529411764,0.6518518518518519,0.546583850931677,0.7209053497942387,0.050928700249642134,0.42881401255726814,0.0015621185302734375,{'var_smoothing': 1e-09},0.552030331588245,10.73212385410648,349.67524237337443,Probabilistic
