n_mfcc,model_name,f1,accuracy,precision,recall,roc_auc,model_size_mb,train_time_sec,best_params
8,SVM (RBF),0.7422680412371134,0.8148148148148148,0.6923076923076923,0.8,0.8731138545953361,0.06610298156738281,2.021600699983537,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}"
16,MLP Neural Network,0.746031746031746,0.8419753086419753,0.8034188034188035,0.6962962962962963,0.8814814814814814,0.06541061401367188,72.95142909977585,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant'}"
32,SVM (RBF),0.7491408934707904,0.8197530864197531,0.6987179487179487,0.8074074074074075,0.879698216735254,0.22838973999023438,2.8446101997978985,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}"
64,LightGBM,0.7795275590551181,0.8617283950617284,0.8319327731092437,0.7333333333333333,0.908395061728395,0.6718044281005859,40.62958460021764,"{'learning_rate': 0.1, 'min_child_samples': 20, 'n_estimators': 200, 'num_leaves': 31}"
128,LightGBM,0.7649402390438247,0.854320987654321,0.8275862068965517,0.7111111111111111,0.9025240054869683,0.5718193054199219,64.84073279984295,"{'learning_rate': 0.2, 'min_child_samples': 50, 'n_estimators': 200, 'num_leaves': 31}"
