,accuracy,accuracy,accuracy,precision,precision,precision,recall,recall,recall,f1,f1,f1,train_time_sec,train_time_sec,model_size_mb,model_size_mb
,mean,std,max,mean,std,max,mean,std,max,mean,std,max,mean,sum,mean,max
n_mfcc,,,,,,,,,,,,,,,,
8,0.7608,0.0639,0.8247,0.662,0.1042,0.7547,0.6413,0.124,0.8,0.6392,0.0913,0.7423,14.1748,198.4467,1.2448,12.7085
16,0.7593,0.0686,0.842,0.6633,0.1171,0.8302,0.6397,0.1258,0.8074,0.6379,0.0953,0.746,14.6154,204.6157,1.0354,10.7397
32,0.7698,0.0719,0.8494,0.6673,0.1231,0.8426,0.6889,0.0718,0.8074,0.6705,0.075,0.7491,19.5457,273.6402,0.8785,5.19
64,0.7667,0.0677,0.8617,0.6691,0.1282,0.8763,0.6741,0.0702,0.7407,0.6626,0.0687,0.7795,135.5268,1897.3756,0.8159,4.4591
128,0.7663,0.0546,0.8543,0.6634,0.0986,0.8276,0.6577,0.1075,0.7481,0.6511,0.0804,0.7649,72.286,1012.0033,0.6742,3.3702
