n_mfcc,model_name,accuracy,precision,recall,f1,roc_auc,train_time_sec,inference_time_ms,model_size_mb,best_params,cv_best_score
8,Logistic Regression,0.6666666666666666,0.5,0.6592592592592592,0.5686900958466453,0.7280384087791495,9.996472099795938,0.21951697766780853,0.0007476806640625,"{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.5838479410608667
8,Ridge Classifier,0.654320987654321,0.48663101604278075,0.674074074074074,0.5652173913043478,0.7273799725651577,0.0851239999756217,0.16922499984502792,0.0007333755493164062,"{'alpha': 10.0, 'solver': 'auto'}",0.5845700537939611
8,SVM (RBF),0.8148148148148148,0.6923076923076923,0.8,0.7422680412371134,0.8731138545953361,2.021600699983537,14.946027025580406,0.06610298156738281,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.7035326180397633
8,Linear SVM,0.6592592592592592,0.4918032786885246,0.6666666666666666,0.5660377358490566,0.7250205761316872,0.10643439972773194,0.18230901565402746,0.0006303787231445312,"{'C': 1, 'loss': 'hinge'}",0.583433696391645
8,Random Forest,0.8148148148148148,0.75,0.6666666666666666,0.7058823529411765,0.8598902606310014,21.510094000026584,49.9367639888078,1.5335464477539062,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.658185397086232
8,Extra Trees,0.8098765432098766,0.7457627118644068,0.6518518518518519,0.6956521739130435,0.8885871056241426,4.38987879967317,73.19098499137908,12.708544731140137,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}",0.6978981279874046
8,Gradient Boosting,0.8,0.7547169811320755,0.5925925925925926,0.6639004149377593,0.8496296296296296,32.570838700048625,2.7813069615513086,1.939753532409668,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.6689801394571603
8,XGBoost,0.8024691358024691,0.7165354330708661,0.674074074074074,0.6946564885496184,0.869272976680384,20.652441900223494,1.4478490315377712,0.26150989532470703,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'scale_pos_weight': 2, 'subsample': 0.8}",0.7030911714943464
8,LightGBM,0.8074074074074075,0.7478260869565218,0.6370370370370371,0.688,0.8632921810699589,15.08186209993437,2.7117440290749073,0.543365478515625,"{'learning_rate': 0.1, 'min_child_samples': 50, 'n_estimators': 200, 'num_leaves': 31}",0.6899739826403734
8,AdaBoost,0.7407407407407407,0.65625,0.4666666666666667,0.5454545454545454,0.7837448559670781,4.348927500192076,45.41837099008262,0.10683631896972656,"{'learning_rate': 1.0, 'n_estimators': 200}",0.55744160872366
8,Decision Tree,0.725925925925926,0.5666666666666667,0.7555555555555555,0.6476190476190476,0.7738408779149519,0.4165221001021564,0.17985700629651546,0.014575958251953125,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5}",0.5967330421255567
8,K-Nearest Neighbors,0.8246913580246914,0.75,0.7111111111111111,0.7300380228136882,0.8428257887517148,0.5539571000263095,27.55883498582989,0.18379497528076172,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.6920002556953261
8,Naive Bayes,0.725925925925926,0.7068965517241379,0.3037037037037037,0.42487046632124353,0.7283401920438958,0.06662659998983145,0.29224902391433716,0.000823974609375,{'var_smoothing': 1e-09},0.4352869199523475
8,MLP Neural Network,0.8049382716049382,0.7028985507246377,0.7185185185185186,0.7106227106227107,0.8606310013717422,86.64589719986543,0.5565920379012823,0.06638622283935547,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant'}",0.7087159654667897
16,Logistic Regression,0.6839506172839506,0.5193370165745856,0.6962962962962963,0.5949367088607594,0.7426337448559671,0.15944079961627722,0.3079500189051032,0.0008087158203125,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}",0.58831010727391
16,Ridge Classifier,0.6567901234567901,0.4891304347826087,0.6666666666666666,0.5642633228840125,0.7422222222222222,0.09651429997757077,0.16671801451593637,0.0007638931274414062,"{'alpha': 0.1, 'solver': 'auto'}",0.5889769060236333
16,SVM (RBF),0.7975308641975308,0.6606060606060606,0.8074074074074075,0.7266666666666667,0.8789026063100137,2.4048536997288465,17.294888980686665,0.12132835388183594,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.6992447283876407
16,Linear SVM,0.674074074074074,0.5084745762711864,0.6666666666666666,0.5769230769230769,0.741042524005487,0.24699919996783137,0.17651695758104324,0.0006914138793945312,"{'C': 10, 'loss': 'hinge'}",0.593718445546708
16,Random Forest,0.8024691358024691,0.7391304347826086,0.6296296296296297,0.68,0.8597256515775035,25.83651510020718,49.53916501253843,1.3316326141357422,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.6466944155147103
16,Extra Trees,0.8395061728395061,0.8301886792452831,0.6518518518518519,0.7302904564315352,0.8916598079561042,4.444920499809086,79.26468900870532,10.739656448364258,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}",0.6784320416330085
16,Gradient Boosting,0.8,0.7596153846153846,0.5851851851851851,0.6610878661087866,0.8514403292181071,46.97904649982229,1.7159820068627596,1.0595197677612305,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.6623696636474583
