n_mfcc,model_name,recall,accuracy,precision,f1,roc_auc,model_size_mb,train_time_sec,best_params
8,SVM (RBF),0.8,0.8148148148148148,0.6923076923076923,0.7422680412371134,0.8730864197530864,0.06612396240234375,1.0447754999622703,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}"
16,SVM (RBF),0.7407407407407407,0.7432098765432099,0.591715976331361,0.6578947368421053,0.8451165980795611,0.15042495727539062,1.4849318000487983,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}"
32,Decision Tree,0.8074074074074075,0.582716049382716,0.43253968253968256,0.5633074935400517,0.713744855967078,0.004807472229003906,0.609935199841857,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2}"
64,Decision Tree,0.8444444444444444,0.5802469135802469,0.43346007604562736,0.5728643216080402,0.7175582990397805,0.004807472229003906,1.1631624000146985,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2}"
128,XGBoost,0.7777777777777778,0.8222222222222222,0.7142857142857143,0.7446808510638298,0.8821947873799726,0.11449527740478516,229.1640994003974,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'scale_pos_weight': 2, 'subsample': 1.0}"
