,accuracy,accuracy,accuracy,precision,precision,precision,recall,recall,recall,f1,f1,f1,train_time_sec,train_time_sec,model_size_mb,model_size_mb
,mean,std,max,mean,std,max,mean,std,max,mean,std,max,mean,sum,mean,max
n_mfcc,,,,,,,,,,,,,,,,
8,0.7503,0.0665,0.8247,0.6407,0.1065,0.783,0.6492,0.1257,0.8,0.6321,0.092,0.7423,8.3947,117.5261,0.5551,3.1472
16,0.7457,0.0594,0.842,0.6348,0.1035,0.8034,0.628,0.1213,0.7407,0.6196,0.0886,0.746,10.3211,144.4955,0.3245,1.6117
32,0.7339,0.0765,0.8222,0.6075,0.1111,0.7586,0.6968,0.0717,0.8074,0.6406,0.0653,0.7372,13.4156,187.8181,0.3404,1.5699
64,0.7339,0.0721,0.8247,0.6128,0.1138,0.8019,0.6899,0.0847,0.8444,0.6377,0.055,0.7054,20.5182,287.2544,0.729,4.4591
128,0.752,0.0604,0.8222,0.6389,0.0967,0.7778,0.6603,0.1096,0.7778,0.6389,0.0773,0.7447,38.9332,545.0645,0.5402,3.3702
