n_mfcc,model_name,accuracy,precision,recall,f1,roc_auc,train_time_sec,inference_time_ms,model_size_mb,best_params,cv_best_score
8,Logistic Regression,0.6666666666666666,0.5,0.6592592592592592,0.5686900958466453,0.7276268861454047,5.096527200192213,0.09306200314313173,0.0007581710815429688,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.6666666666666666
8,Ridge Classifier,0.6567901234567901,0.489247311827957,0.674074074074074,0.5669781931464174,0.727434842249657,0.054856499657034874,0.08754599839448929,0.0007333755493164062,"{'alpha': 0.1, 'solver': 'auto'}",0.6703703703703704
8,SVM (RBF),0.8148148148148148,0.6923076923076923,0.8,0.7422680412371134,0.8730864197530864,1.0447754999622703,5.724915014579892,0.06612396240234375,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.7833333333333333
8,Linear SVM,0.6592592592592592,0.4918032786885246,0.6666666666666666,0.5660377358490566,0.7250205761316872,0.043140700086951256,0.06978700868785381,0.0006303787231445312,"{'C': 1, 'loss': 'hinge'}",0.6722222222222222
8,Random Forest,0.8148148148148148,0.75,0.6666666666666666,0.7058823529411765,0.8598902606310014,12.383466000203043,31.381582021713253,1.5335464477539062,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.612962962962963
8,Extra Trees,0.7851851851851852,0.6935483870967742,0.6370370370370371,0.6640926640926641,0.8529218106995885,2.437257200013846,46.672461004927754,3.147233009338379,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.6537037037037038
8,Gradient Boosting,0.8148148148148148,0.7830188679245284,0.6148148148148148,0.6887966804979253,0.8638683127572017,18.92569170007482,1.039854004047811,2.011164665222168,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.6055555555555556
8,XGBoost,0.7679012345679013,0.632258064516129,0.725925925925926,0.6758620689655173,0.8498765432098765,14.41580260032788,0.6567829893901944,0.11234855651855469,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'scale_pos_weight': 2, 'subsample': 1.0}",0.7314814814814815
8,LightGBM,0.7753086419753087,0.6375,0.7555555555555555,0.6915254237288135,0.8439506172839507,9.367926700040698,1.2170939892530441,0.5367660522460938,"{'learning_rate': 0.01, 'min_child_samples': 50, 'n_estimators': 200, 'num_leaves': 31}",0.7111111111111109
8,AdaBoost,0.7407407407407407,0.65625,0.4666666666666667,0.5454545454545454,0.7837448559670781,2.0383766000159085,16.63399700075388,0.10683631896972656,"{'learning_rate': 1.0, 'n_estimators': 200}",0.48518518518518516
8,Decision Tree,0.6518518518518519,0.484375,0.6888888888888889,0.5688073394495413,0.7387105624142661,0.18003179971128702,0.06943200249224901,0.003742218017578125,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2}",0.7314814814814815
8,K-Nearest Neighbors,0.8246913580246914,0.75,0.7111111111111111,0.7300380228136882,0.8428257887517148,0.31081039970740676,22.352296002209187,0.18379497528076172,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.6814814814814815
8,Naive Bayes,0.725925925925926,0.7068965517241379,0.3037037037037037,0.42487046632124353,0.7283401920438958,0.027327800169587135,0.11632099281996489,0.000823974609375,{'var_smoothing': 1e-09},0.31666666666666665
8,MLP Neural Network,0.8049382716049382,0.7028985507246377,0.7185185185185186,0.7106227106227107,0.8606310013717422,51.200091399718076,0.1656559994444251,0.06638622283935547,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant'}",0.7055555555555556
16,Logistic Regression,0.6790123456790124,0.5139664804469274,0.6814814814814815,0.5859872611464968,0.7424417009602196,0.09893839992582798,0.11709603015333414,0.000812530517578125,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.675925925925926
16,Ridge Classifier,0.6567901234567901,0.4891304347826087,0.6666666666666666,0.5642633228840125,0.7422222222222222,0.07267410028725863,0.09712301660329103,0.0007638931274414062,"{'alpha': 0.1, 'solver': 'auto'}",0.6759259259259259
16,SVM (RBF),0.7432098765432099,0.591715976331361,0.7407407407407407,0.6578947368421053,0.8451165980795611,1.4849318000487983,8.383636986836791,0.15042495727539062,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7648148148148147
16,Linear SVM,0.674074074074074,0.5084745762711864,0.6666666666666666,0.5769230769230769,0.741042524005487,0.09637359995394945,0.082563990727067,0.0006914138793945312,"{'C': 10, 'loss': 'hinge'}",0.6814814814814816
16,Random Forest,0.8024691358024691,0.7391304347826086,0.6296296296296297,0.68,0.8597256515775035,18.628019999712706,33.3914759894833,1.3316326141357422,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.5888888888888889
16,Extra Trees,0.8049382716049382,0.7372881355932204,0.6444444444444445,0.6877470355731226,0.8535528120713306,2.994706100318581,33.7139989528805,1.611699104309082,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.6351851851851853
16,Gradient Boosting,0.8,0.7454545454545455,0.6074074074074074,0.6693877551020408,0.8603566529492455,31.35218199994415,0.7589989993721247,0.7738122940063477,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.5777777777777778
16,XGBoost,0.7604938271604939,0.625,0.7037037037037037,0.662020905923345,0.8429629629629629,28.180266300216317,0.9650440327823162,0.11367511749267578,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'scale_pos_weight': 2, 'subsample': 1.0}",0.7203703703703703
16,LightGBM,0.7481481481481481,0.6,0.7333333333333333,0.66,0.8190672153635116,5.999641000293195,1.6198370046913624,0.2695503234863281,"{'learning_rate': 0.01, 'min_child_samples': 50, 'n_estimators': 100, 'num_leaves': 31}",0.7000000000000001
16,AdaBoost,0.7382716049382716,0.6526315789473685,0.45925925925925926,0.5391304347826087,0.7903017832647463,3.4279223000630736,19.058897993527353,0.10683631896972656,"{'learning_rate': 1.0, 'n_estimators': 200}",0.47962962962962963
